order_id,date,region,product,category,units,revenue,returned
1001,2024-01-05,West,Wireless Mouse,Accessories,3,74.97,no
1002,2024-01-08,East,Mechanical Keyboard,Accessories,1,119.00,no
1003,2024-01-11,North,27" Monitor,Displays,2,498.00,no
1004,2024-01-15,South,USB-C Hub,Accessories,5,199.95,yes
1005,2024-01-19,West,Laptop Stand,Accessories,4,159.96,no
1006,2024-02-02,East,27" Monitor,Displays,1,249.00,no
1007,2024-02-07,North,Webcam 1080p,Peripherals,3,134.97,no
1008,2024-02-12,South,Mechanical Keyboard,Accessories,2,238.00,no
1009,2024-02-18,West,Noise-Cancel Headset,Audio,2,259.98,yes
1010,2024-02-25,East,USB-C Hub,Accessories,6,239.94,no
1011,2024-03-03,North,Laptop Stand,Accessories,3,119.97,no
1012,2024-03-09,South,34" Ultrawide,Displays,1,549.00,no
1013,2024-03-14,West,Webcam 1080p,Peripherals,4,179.96,no
1014,2024-03-20,East,Noise-Cancel Headset,Audio,1,129.99,no
1015,2024-03-28,North,Wireless Mouse,Accessories,7,174.93,no
1016,2024-04-04,South,34" Ultrawide,Displays,2,1098.00,no
1017,2024-04-10,West,Mechanical Keyboard,Accessories,3,357.00,yes
1018,2024-04-16,East,Laptop Stand,Accessories,5,199.95,no
1019,2024-04-22,North,27" Monitor,Displays,3,747.00,no
1020,2024-04-29,South,USB-C Hub,Accessories,4,159.96,no
1021,2024-05-06,West,Noise-Cancel Headset,Audio,2,259.98,no
1022,2024-05-13,East,Webcam 1080p,Peripherals,6,269.94,no
1023,2024-05-21,North,Wireless Mouse,Accessories,9,224.91,no
1024,2024-05-28,South,Mechanical Keyboard,Accessories,1,119.00,no
1025,2024-06-04,West,34" Ultrawide,Displays,1,549.00,no
1026,2024-06-11,East,Laptop Stand,Accessories,2,79.98,yes
1027,2024-06-18,North,USB-C Hub,Accessories,3,119.97,no
1028,2024-06-25,South,27" Monitor,Displays,2,498.00,no
1029,2024-07-02,West,Webcam 1080p,Peripherals,5,224.95,no
1030,2024-07-09,East,Wireless Mouse,Accessories,4,99.96,no
